"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000128564",1731.62683333347,-2.48865632407005,0.0936355398787614,-26.5781168912183,1.21561540571398e-155,3.41114312613791e-153
"ENSG00000177694",4230.92104578558,-1.61861665613322,0.0609503238063031,-26.5563257920843,2.17058632399729e-155,6.01280239777043e-153
"ENSG00000047648",8421.65132625106,-1.37151915606768,0.0516868773481578,-26.535152178555,3.8108868240652e-155,1.04230166591869e-152
"ENSG00000138119",3197.40690151632,-2.0460450139167,0.077249001471013,-26.4863619587946,1.39177190647704e-154,3.75900194790617e-152
"ENSG00000223768",3459.37945420412,1.73430126685269,0.0657783260849198,26.3658467777625,3.37801022775689e-153,9.01094654211643e-151
"ENSG00000145721",964.018758413056,-3.35081613228439,0.127114480936672,-26.3606168832468,3.87816296645899e-153,1.02189594166194e-150
"ENSG00000152952",2724.54055594982,2.36550752701166,0.0897420902488199,26.3589528665204,4.05231226928919e-153,1.05491941207869e-150
"ENSG00000186204",703.058857603649,-5.51821376709032,0.209527682930033,-26.3364424687166,7.33925045798947e-153,1.88784743625927e-150
"ENSG00000101144",1449.90175874346,-2.68291808426694,0.103315237222487,-25.96827105463,1.13076990101271e-148,2.87441708837431e-146
"ENSG00000189143",9185.36718217263,-1.32016790047287,0.0509418198255222,-25.9152088597246,4.48825414561201e-148,1.12764775958417e-145
"ENSG00000109790",2566.24214062491,-1.91381502649842,0.0751928727488598,-25.4520801843874,6.6949188596792e-143,1.66272542300102e-140
"ENSG00000171302",12885.4668178439,-1.22981951645576,0.0483384758062135,-25.4418348105564,8.69252824970385e-143,2.13431202149263e-140
"ENSG00000170275",2799.01224570066,-1.98158434335092,0.0780388384488962,-25.3922839285795,3.06871827674299e-142,7.45008941635795e-140
"ENSG00000156675",4543.45399279152,-1.69325777410676,0.0668163552656592,-25.3419655617916,1.10195365841086e-141,2.64554585525371e-139
"ENSG00000109586",1948.27433748258,-2.24805139361518,0.0901323588768123,-24.94166824911,2.62956373301511e-137,6.24362456914918e-135
"ENSG00000134308",4879.17721306998,-1.54624899022962,0.0624197622198149,-24.7717859735578,1.80611416727912e-135,4.24181617526086e-133
"ENSG00000070526",697.887135283305,-3.61956404414434,0.146633135204871,-24.6844892123953,1.56956373906007e-134,3.64661975374955e-132
"ENSG00000135046",3410.44579439204,-1.67416893567194,0.06797732837591,-24.6283426499774,6.28044245340806e-134,1.44363319245519e-131
"ENSG00000127324",1880.7170434666,-2.09951885874822,0.0862811465500361,-24.3334603525542,8.67699534010363e-131,1.97351408751178e-128
"ENSG00000196549",5415.68639452703,1.4217409152946,0.0584774609347522,24.3126307566763,1.44135396919986e-130,3.2440974179689e-128
"ENSG00000146205",2287.21522166545,-2.15935162458513,0.0889574977579407,-24.2739699183184,3.69273862592771e-130,8.22567046292991e-128
"ENSG00000183283",3999.10161232733,-1.49101465013513,0.0621449055492685,-23.992548334522,3.3262803256877e-127,7.33376928542185e-125
"ENSG00000101057",2009.05394926035,-2.4655420321523,0.102830864249855,-23.9766732501793,4.87086716791936e-127,1.06307905956802e-124
"ENSG00000130513",657.324944014148,-3.61387917267169,0.151096702007766,-23.9176575309099,2.00652019496077e-126,4.33548818525173e-124
"ENSG00000123643",6696.86427730403,-1.26138600084882,0.0529254710932231,-23.8332503196243,1.51074119353437e-125,3.2319391058116e-123
"ENSG00000147041",1361.82172640037,-2.26311087735993,0.0960571816015019,-23.5600382983186,9.90586769411626e-123,2.09839297320363e-120
"ENSG00000126878",2139.57750352998,-1.95322103178322,0.0834522462038065,-23.4052541499372,3.77827005435117e-121,7.92593020042385e-119
"ENSG00000160213",3630.40243998793,-1.5110333132401,0.0646397212074092,-23.3762349994001,7.45795998691904e-121,1.54946289843615e-118
"ENSG00000156453",2150.98001815849,-1.79549186445572,0.0768634852392266,-23.3594906458836,1.10372468110177e-120,2.27125516043486e-118
"ENSG00000179348",17119.58660881,-1.06510584737298,0.0456209242667211,-23.3468712984831,1.48279799941194e-120,3.02252984653715e-118
"ENSG00000167900",2364.70647510825,-2.26003942441226,0.0968975813170967,-23.3240024538517,2.53086656962299e-120,5.11069476353681e-118
"ENSG00000105707",3071.39123195359,-1.59488963504971,0.0684394524802442,-23.3036585953122,4.07033155496649e-120,8.14330128779268e-118
"ENSG00000046889",861.315842769634,3.52651438165352,0.151378171183061,23.2960561889,4.8607101028047e-120,9.63535442122029e-118
"ENSG00000111481",3135.89100457655,-1.57256982989422,0.0675999141355422,-23.2628968542936,1.05332369734427e-119,2.06901501168342e-117
"ENSG00000162522",3597.44704299963,-1.53656395702874,0.0661355804875602,-23.2335445716359,2.08672712079002e-119,4.06197413503693e-117
"ENSG00000181104",3493.20278445197,1.54649969298088,0.066785666947305,23.1561615488709,1.26014090840886e-118,2.43105933999913e-116
"ENSG00000104490",1900.79063978576,-1.88742875520286,0.0815604694493347,-23.1414650742702,1.77191700723476e-118,3.38812484737358e-116
"ENSG00000101871",1217.14443578909,-2.55548659104389,0.110622179259328,-23.1010327960829,4.52061935321223e-118,8.56815985656638e-116
"ENSG00000136826",2501.00171269437,-1.67789183720821,0.0726738527992319,-23.0879714309841,6.11569363180023e-118,1.14905906349833e-115
"ENSG00000004866",4526.08965719085,-1.47434976275305,0.0638723850333555,-23.0827416571828,6.90202664541039e-118,1.28562146316709e-115
"ENSG00000189057",1381.18335779007,-2.25063221840874,0.0975239425336097,-23.0777402957546,7.74822357251627e-118,1.43090484385777e-115
"ENSG00000173402",11958.4111481257,-1.11894584894193,0.0485893311979968,-23.0286324457182,2.40871445340186e-117,4.41060111819102e-115
"ENSG00000160932",3794.41828168157,-1.5357447063476,0.067147855539862,-22.8710908784855,9.01512809662259e-116,1.63688968725819e-113
"ENSG00000116489",3838.66807375955,-1.46082295396718,0.0640456306893619,-22.8090962372211,3.72470019259404e-115,6.70663308844829e-113
"ENSG00000142875",3318.96301978352,-1.48653147143629,0.0655145453144877,-22.6900982720789,5.6112180336491e-114,1.0019965954798e-111
"ENSG00000124766",7191.75673414892,1.18230194216307,0.0521257223013477,22.6817373451055,6.78565109265487e-114,1.20178330458192e-111
"ENSG00000171848",2436.12610826058,-2.14941466973403,0.0947773255539058,-22.6785748297099,7.291253614924e-114,1.28083021835498e-111
"ENSG00000167751",188870.563948519,-1.2087362512763,0.0533767161113462,-22.6453843423941,1.54915789279896e-113,2.67781236717657e-111
"ENSG00000125505",6387.54322138761,-1.22179806843495,0.0542439211790852,-22.5241472570024,2.40749029630084e-112,4.12846371683908e-110
"ENSG00000144597",5927.48288063603,-1.23349790728002,0.0549791320467707,-22.4357471891459,1.76322689115469e-111,2.99984593993538e-109
"ENSG00000171303",2766.22712020728,-1.63934035659563,0.0731378433967084,-22.4143928841825,2.84899379350558e-111,4.80923507002148e-109
"ENSG00000101049",612.478511597791,-3.47209696806924,0.155315564356434,-22.3551128469077,1.07679338470544e-110,1.8035871832039e-108
"ENSG00000073111",3214.66099646964,-1.7694751114025,0.0798515018510416,-22.1595720854863,8.43483812687624e-109,1.40193498005704e-106
"ENSG00000066777",10612.5834754389,1.070026225947,0.0483262072726248,22.1417381238013,1.25310094953365e-108,2.06685131424226e-106
"ENSG00000197747",11453.3280322424,-1.0623869931669,0.0482019447798036,-22.0403346383659,1.18260055345721e-107,1.93579167867802e-105
"ENSG00000087111",3095.83044314534,-1.58531699943491,0.0719795671059388,-22.0245420078959,1.67594954286127e-107,2.72272494530854e-105
"ENSG00000084444",3801.18712787728,-1.46196003020293,0.0665166095328748,-21.9788717505269,4.5872044359813e-107,7.39669598867523e-105
"ENSG00000183010",4600.80254983409,-1.33595372790604,0.0609320020215188,-21.9253214006366,1.48982332852922e-106,2.36695681320079e-104
"ENSG00000176903",4070.46860282932,1.71470098854069,0.0784209562635353,21.865341488293,5.55481814713849e-106,8.76079968651251e-104
"ENSG00000167978",10958.9456205211,-1.22880652410172,0.0563114850370655,-21.8215968428623,1.44716973360395e-105,2.26586930681019e-103
"ENSG00000187189",2271.21088665651,1.74685701359646,0.0800581638649775,21.8198485858685,1.50356320069413e-105,2.33722950197108e-103
"ENSG00000091164",6912.97134252615,-1.25106514825558,0.0574049887476647,-21.7936659434756,2.66443480549097e-105,4.11217448873167e-103
"ENSG00000065054",1594.67412516848,-1.90591702092494,0.0875957331959548,-21.7581034074038,5.78937266845544e-105,8.87170037215012e-103
"ENSG00000106537",4387.93393753065,-1.34368247306757,0.0617587625621266,-21.7569526545465,5.93646681782389e-105,9.03304496709301e-103
"ENSG00000168159",4168.45408000498,-1.35510059202724,0.0623174648221725,-21.7451174545389,7.68356659549001e-105,1.16097079320806e-102
"ENSG00000132646",5317.88306707598,-1.51929795616466,0.0698785495691962,-21.7419789839827,8.22739189073783e-105,1.23450872627203e-102
"ENSG00000104738",8014.16071598586,-1.52054172487406,0.0701023246343458,-21.6903181571398,2.53229774515141e-104,3.7734729227232e-102
"ENSG00000186806",1195.60889317699,-2.31140214416083,0.106620403127287,-21.6787976444002,3.25266076082669e-104,4.81371514103988e-102
"ENSG00000104081",2716.40663180058,1.77118770982839,0.0817827707724819,21.6572230690961,5.19627991778e-104,7.63782450227704e-102
"ENSG00000176890",1878.0549801837,-2.17906598328486,0.100720896270689,-21.634696115378,8.47056153794506e-104,1.23664475101607e-101
"ENSG00000244187",2657.11941407154,-1.5553402902813,0.0719504344143086,-21.6168297376116,1.24758343301279e-103,1.80916343873203e-101
"ENSG00000164620",1521.49541051817,-2.19680473969771,0.102110962538108,-21.5138970889424,1.15390987038141e-102,1.66216870462208e-100
"ENSG00000151176",1829.52450417636,-1.79544797430483,0.0834669806716536,-21.5108772338111,1.23153349057524e-102,1.75631313331418e-100
"ENSG00000049860",3141.58845972565,-1.45500261514232,0.0676407916422203,-21.5107271783337,1.23552365559197e-102,1.75631313331418e-100
"ENSG00000196230",17461.1509087443,-1.16892944469994,0.0543547830503309,-21.505548897464,1.38141702479975e-102,1.95086782057832e-100
"ENSG00000096006",2888.54255278482,-1.79986263070233,0.0838979293972694,-21.4530041877399,4.28092008841504e-102,6.00635326950544e-100
"ENSG00000095585",854.767645983391,-2.58338760671949,0.12092615421409,-21.363348760317,2.93032082071008e-101,4.08486722406985e-99
"ENSG00000109956",5350.40330816767,-1.20500497605578,0.0564629648880944,-21.3415108194197,4.67590773585214e-101,6.47643195183059e-99
"ENSG00000185442",7307.65168518036,-1.12540291536241,0.052835941214938,-21.2999501756626,1.13641926964872e-100,1.56398797192994e-98
"ENSG00000167653",643.935214766048,-3.11448464424119,0.146282452008126,-21.2908971752003,1.37863388206386e-100,1.88532546137682e-98
"ENSG00000101161",6894.26700792252,1.13787940699749,0.0535018901916829,21.2680225487506,2.24548836090492e-100,3.05146333421841e-98
"ENSG00000087086",6251.78680804696,-1.24466284023964,0.0585851697935116,-21.2453568817255,3.63926485064415e-100,4.91459972674175e-98
"ENSG00000183036",681.806456509458,-3.14283305850154,0.148263435574281,-21.1976273605703,1.00433687260686e-99,1.34786998797617e-97
"ENSG00000198189",1894.80861272799,1.86352329945963,0.0884891101192606,21.0593517885769,1.87725746641702e-98,2.50382111585634e-96
"ENSG00000207827",14058.2633901788,-13.6165134919208,0.646989951142785,-21.0459427814448,2.49114165167721e-98,3.30221458084599e-96
"ENSG00000151458",3423.2224480703,1.39803121972594,0.06652650657127,21.0146495251216,4.81785545480648e-98,6.34752456170754e-96
"ENSG00000187244",19971.8302985536,-1.05010974837724,0.0500061382236189,-20.9996169606485,6.6116442440358e-98,8.65804831399281e-96
"ENSG00000211459",16631.1314552705,1.01448858167419,0.0483273774472647,20.9920056758968,7.76012436538376e-98,1.01007835640269e-95
"ENSG00000173114",478.312750575216,4.75971847208097,0.227359899379416,20.9347316086642,2.58516791118138e-97,3.32486446767239e-95
"ENSG00000144596",1373.80698708051,-2.50816837679086,0.119836309874743,-20.9299533623196,2.85775854351646e-97,3.65370348223433e-95
"ENSG00000175305",1092.13156035604,-2.2452681572624,0.107628378047503,-20.8613025485845,1.20348907397705e-96,1.52963461302484e-94
"ENSG00000171617",2628.23913293581,-1.46769107607013,0.0704493982694633,-20.8332663177098,2.1620198470645e-96,2.73185747576155e-94
"ENSG00000111341",707.371982951515,-2.7756264674206,0.133344485579611,-20.8154574623445,3.13538584188473e-96,3.93873731893043e-94
"ENSG00000184007",4778.27471359622,-1.24051840438779,0.0596059834359336,-20.8119778062405,3.3714510810148e-96,4.21080598309172e-94
"ENSG00000072778",5892.4746716737,-1.23366701106712,0.0593388245562182,-20.7902165284439,5.30708687145816e-96,6.59024287537911e-94
"ENSG00000198075",1518.70055208131,-2.19925849889316,0.105842270724281,-20.7786405548897,6.75442248314592e-96,8.3395889481905e-94
"ENSG00000204385",9151.55593852101,-1.09494875984944,0.0527131535580823,-20.7718318093597,7.78327345206322e-96,9.55529485674603e-94
"ENSG00000215845",1168.76344364711,-2.22967652788671,0.107596846684505,-20.7225081086674,2.17077785396073e-95,2.649943338448e-93
"ENSG00000173801",5998.91051603995,-1.15242542809504,0.055765672804812,-20.6654985070959,7.08220013758135e-95,8.59691563891686e-93
"ENSG00000075702",1641.98340072581,-1.94408342390888,0.0941071319525836,-20.6581943745605,8.23878885358924e-95,9.94500060108954e-93
"ENSG00000133636",677.280544288319,-3.27180156708184,0.158648927069871,-20.6229038387438,1.70981662460571e-94,2.0524448782142e-92
"ENSG00000058085",615.639984780343,-2.98445428278418,0.145011410874407,-20.5808237075148,4.0769464385189e-94,4.86688296668939e-92
"ENSG00000172201",12329.1626218856,-1.05011068403291,0.051055427274429,-20.5680520190036,5.30545986924452e-94,6.29863029641573e-92
"ENSG00000093009",1055.48922433034,-2.55950796737507,0.124487721820424,-20.5603245841965,6.22154889165437e-94,7.34584737169268e-92
"ENSG00000114446",2128.23914903458,1.73011677240263,0.084152939694162,20.5591958960722,6.36795952242443e-94,7.47785333701221e-92
"ENSG00000167767",517.857513809244,-3.36631607650615,0.163784557465722,-20.5533178987932,7.18785878963137e-94,8.39503053338189e-92
"ENSG00000146670",2711.84422831911,-1.65924882904885,0.0808355907076983,-20.5262164168342,1.25580856667181e-93,1.4510297165817e-91
"ENSG00000181467",1470.16365027249,2.13536834268914,0.104357246971247,20.4620992280246,4.68760254129446e-93,5.38750149519943e-91
"ENSG00000106031",7656.59006709215,1.06912933886206,0.0522821082125036,20.4492392410139,6.10193914650708e-93,6.97590471632691e-91
"ENSG00000164111",3680.31461092608,-1.33295738817086,0.0651988487280107,-20.4444927199796,6.72538474379025e-93,7.64817832416189e-91
"ENSG00000139793",1761.17725604746,1.83852360429229,0.0900024926188958,20.4274742931541,9.53058643380527e-93,1.07815382761901e-90
"ENSG00000168743",1260.55316743353,2.06817750632761,0.101293944044567,20.417582964463,1.16696824338229e-92,1.31326473097715e-90
"ENSG00000184261",512.031493057109,-3.39697800691617,0.166847870726213,-20.3597324444758,3.80656607524638e-92,4.26157892165019e-90
"ENSG00000106351",1527.29107130596,-1.96295346940425,0.0965047201494291,-20.3404918056318,5.6362424815253e-92,6.24524570760601e-90
"ENSG00000074370",2049.56594637637,-1.5971535128436,0.078525458849058,-20.3393082479615,5.77390698884095e-92,6.36514328101461e-90
"ENSG00000146648",1032.31529505622,-2.2895803320097,0.112753617166726,-20.3060477308161,1.13693432255841e-91,1.24699187347815e-89
"ENSG00000117360",3803.12602354425,1.32624044889323,0.0653848655061867,20.2835998610067,1.79501215470681e-91,1.95882967811869e-89
