ucsc external_gene_name ensembl_gene_id
uc001pyt.3 CLMP ENSG00000166250
uc001qfc.4 BARX2 ENSG00000043039
uc001qgw.2 MIR4697 ENSG00000264919
uc001qhp.3 GLB1L2 ENSG00000149328
uc001qmo.3 CCND2 ENSG00000118971
uc001quz.5 A2ML1 ENSG00000166535
uc001rba.3 GPRC5A ENSG00000013588
uc001rcq.1 ARHGDIB ENSG00000111348
uc001rjo.2 LINC00941 ENSG00000235884
uc001rsq.4 FKBP11 ENSG00000134285
uc001rsv.1 DDN ENSG00000181418
uc001rwi.4 LIMA1 ENSG00000050405
uc001rxb.3 METTL7A ENSG00000185432
uc001saa.1 KRT7 ENSG00000135480
uc001saj.2 KRT75 ENSG00000170454
uc001sak.3 KRT6B ENSG00000185479
uc001sal.4 KRT6C ENSG00000170465
uc001sam.3 KRT6A ENSG00000205420
uc001san.3 KRT5 ENSG00000186081
uc001sbu.1 IGFBP6 ENSG00000167779
uc001seh.2 CALCOCO1 ENSG00000012822
uc001sei.3 HOXC13 ENSG00000123364
uc001snd.3 LRP1 ENSG00000123384
uc001soj.1 MBD6 ENSG00000166987
uc001sso.4 RPSAP52 ENSG00000241749
uc001ssw.1 HMGA2 ENSG00000149948
uc001ssx.3 HMGA2 ENSG00000149948
uc001sxu.3 PHLDA1 ENSG00000139289
uc001tae.4 ALX1 ENSG00000180318
uc001tay.3 DUSP6 ENSG00000139318
uc001tej.3 SNRPF ENSG00000139343
uc001teo.1 ELK3 ENSG00000111145
uc001tkw.3 EID3 ENSG00000255150
uc001tlb.3 C12orf45 ENSG00000151131
uc001tlj.1 NUAK1 ENSG00000074590
uc001tmi.4 CRY1 ENSG00000008405
uc001tqu.4 FAM216A ENSG00000204856
uc001trz.3 RP1-46F2.2 ENSG00000185847
uc001tsa.2 CUX2 ENSG00000111249
uc001tst.3 ALDH2 ENSG00000111275
uc001tub.3 OAS1 ENSG00000089127
uc001tud.3 OAS1 ENSG00000089127
uc001tug.3 OAS3 ENSG00000111331
uc001tuh.3 OAS2 ENSG00000111335
uc001tui.1 OAS2 ENSG00000111335
uc001tuj.3 OAS2 ENSG00000111335
uc001txb.3 HSPB8 ENSG00000152137
uc001tzj.2 OASL ENSG00000135114
uc001ucx.1 HCAR2 ENSG00000182782
uc001uii.3 FZD10 ENSG00000111432
uc001uje.3 ULK1 ENSG00000177169
uc001umx.1 GJA3 ENSG00000121743
uc001umy.3 GJB2 ENSG00000165474
uc001uxl.4 FOXO1 ENSG00000150907
uc001vje.3 KLF5 ENSG00000102554
uc001vll.1 SLITRK6 ENSG00000184564
uc001vlt.3 GPC6 ENSG00000183098
uc001vom.1 ZIC5 ENSG00000139800
uc001vox.1 NALCN ENSG00000102452
uc001vqw.4 COL4A1 ENSG00000187498
uc001vqx.3 COL4A2 ENSG00000134871
uc001vzu.2 LINC00641 ENSG00000258441
uc001wjo.4 EFS ENSG00000100842
uc001wod.3 TGM1 ENSG00000092295
uc001wsc.3 SPTSSA ENSG00000165389
uc001wtf.4 NFKBIA ENSG00000100906
uc001xch.3 PELI2 ENSG00000139946
uc001xft.3 SNAPC1 ENSG00000023608
uc001xhi.2 ZBTB1 ENSG00000126804
uc001xln.1 SRSF5 ENSG00000100650
uc001xqa.3 LTBP2 ENSG00000119681
uc001xrc.2 EIF2B2 ENSG00000119718
uc001xrs.2 FLVCR2 ENSG00000119686
uc001xsy.4 IRF2BPL ENSG00000119669
uc001xtw.3 AHSA1 ENSG00000100591
uc001ycq.3 IFI27L2 ENSG00000119632
uc001yfh.3 BDKRB1 ENSG00000100739
uc001zfo.3 KLF13 ENSG00000169926
uc001zja.3 DPH6 ENSG00000134146
uc001zka.4 SPRED1 ENSG00000166068
uc001zkh.3 THBS1 ENSG00000137801
uc001znd.3 RHOV ENSG00000104140
uc001zon.2 JMJD7 ENSG00000243789
uc001zrt.3 MAP1A ENSG00000166963
uc001zwx.2 FBN1 ENSG00000166147
uc001zyy.3 TNFAIP8L3 ENSG00000183578
uc002adg.3 PRTG ENSG00000166450
uc002amr.3 DAPK2 ENSG00000035664
uc002baw.3 CSPG4 ENSG00000173546
uc002bgq.2 MEX3B ENSG00000183496
uc002bmt.2 AEN ENSG00000181026
uc002btp.3 NR2F2 ENSG00000185551
uc002bup.3 SYNM ENSG00000182253
uc002bwn.4 ALDH1A3 ENSG00000184254
uc002chg.3 CAPN15 ENSG00000103326
uc002cnf.3 HS3ST6 ENSG00000162040
uc002cru.3 ZG16B ENSG00000162078
uc002cvt.4 TRAP1 ENSG00000126602
uc002dca.4 CPPED1 ENSG00000103381
uc002dfa.3 XYLT1 ENSG00000103489
uc002dmb.1 CHP2 ENSG00000166869
uc002eac.3 ORAI3 ENSG00000175938
uc002eht.1 IRX3 ENSG00000177508
uc002eit.4 GNAO1 ENSG00000087258
uc002eiu.4 GNAO1 ENSG00000087258
uc002ejj.4 MT1L ENSG00000260549
uc002elg.2 PLLP ENSG00000102934
uc002elw.3 CCDC102A ENSG00000135736
uc002eom.4 CDH5 ENSG00000179776
uc002etd.3 HSD11B2 ENSG00000176387
uc002ezj.3 MTSS1L ENSG00000132613
uc002fbp.3 DHODH ENSG00000102967
uc002ffn.3 MAF ENSG00000178573
uc002fhs.1 RP11-486L19.2 ENSG00000250685
uc002fid.3 COTL1 ENSG00000103187
uc002fjr.3 FOXL1 ENSG00000176678
uc002fku.2 ZNF469 ENSG00000225614
uc002fon.1 VPS9D1-AS1 ENSG00000261373
uc002frj.3 FAM101B ENSG00000183688
uc002ftp.3 RTN4RL1 ENSG00000185924
uc002fxw.1 RP13-580F15.2 ENSG00000262823
uc002gby.1 C1QBP ENSG00000108561
uc002gdf.4 TXNDC17 ENSG00000129235
uc002gge.4 KCTD11 ENSG00000213859
uc002gmr.4 SCO1 ENSG00000133028
uc002gpw.3 CENPV ENSG00000166582
uc002gte.3 EVPLL ENSG00000214860
uc002gwi.3 SLC47A2 ENSG00000180638
uc002gyw.4 C17orf51 ENSG00000212719
uc002hel.2 CORO6 ENSG00000167549
uc002hjy.1 MMP28 ENSG00000129270
uc002hka.3 MMP28 ENSG00000129270
uc002hkf.3 CCL5 ENSG00000161570
uc002hvi.3 KRT10 ENSG00000186395
uc002hvx.3 KRTAP2-3 ENSG00000212724
uc002hxd.4 KRT19 ENSG00000171345
uc002hxe.4 KRT9 ENSG00000171403
uc002hxf.2 KRT14 ENSG00000186847
uc002hxg.4 KRT16 ENSG00000186832
uc002hxh.2 KRT17 ENSG00000128422
uc002igx.2 FZD2 ENSG00000180340
uc002iha.3 C17orf104 ENSG00000180336
uc002ilx.1 OSBPL7 ENSG00000006025
uc002imp.4 PRR15L ENSG00000167183
uc002inp.3 HOXB4 ENSG00000182742
uc002ipv.3 DLX4 ENSG00000108813
uc002ipy.3 DLX3 ENSG00000064195
uc002iqt.3 LRRC59 ENSG00000108829
uc002iss.3 LUC7L3 ENSG00000108848
uc002iup.2 NOG ENSG00000183691
uc002ivc.3 MRPS23 ENSG00000181610
uc002ivh.1 RP11-159D12.2 ENSG00000264112
uc002jad.4 MRC2 ENSG00000011028
uc002jfp.1 PRKCA ENSG00000154229
uc002jiw.3 SOX9 ENSG00000125398
uc002jlo.4 SLC9A3R1 ENSG00000109062
uc002jml.4 CDR2L ENSG00000109089
uc002jne.3 SUMO2 ENSG00000188612
uc002jpk.3 GALK1 ENSG00000108479
uc002jru.2 CYGB ENSG00000161544
uc002jsg.4 ST6GALNAC2 ENSG00000070731
uc002jvl.2 SOCS3 ENSG00000184557
uc002jyp.1 NPTX1 ENSG00000171246
uc002jyw.4 CHMP6 ENSG00000176108
uc002kde.3 LRRC45 ENSG00000169683
uc002keo.3 SECTM1 ENSG00000141574
uc002kga.3 ZNF750 ENSG00000141579
uc002kom.4 APCDD1 ENSG00000154856
uc002kws.3 DSG3 ENSG00000134757
uc002lfr.3 RAB27B ENSG00000041353
uc002lib.3 CCBE1 ENSG00000183287
uc002lky.2 NETO1 ENSG00000166342
uc002lmr.3 MBP ENSG00000197971
uc002mba.3 DPP9 ENSG00000142002
uc002mcc.5 TINCR ENSG00000223573
uc002mcv.3 RPL36 ENSG00000130255
uc002mft.3 SH2D3A ENSG00000125731
uc002miy.4 CTXN1 ENSG00000178531
uc002mkp.3 MUC16 ENSG00000181143
uc002mmq.1 COL5A3 ENSG00000080573
uc002mnq.2 ICAM1 ENSG00000090339
uc002mtd.3 ZNF788 ENSG00000188474
uc002mux.3 BEST2 ENSG00000039987
uc002mvc.3 JUNB ENSG00000171223
uc002mwm.4 NACC1 ENSG00000160877
uc002mwr.3 IER2 ENSG00000160888
uc002mye.3 ASF1B ENSG00000105011
uc002nan.3 NOTCH3 ENSG00000074181
uc002nbl.3 CYP4F12 ENSG00000186204
uc002ngl.3 BST2 ENSG00000130303
uc002nip.2 JUND ENSG00000130522
uc002nlf.3 SLC25A42 ENSG00000181035
uc002non.3 ZNF93 ENSG00000184635
uc002npa.3 ZNF737 ENSG00000237440
uc002nun.3 AC008738.1 ENSG00000230259
uc002nun.3 CEBPA ENSG00000245848
uc002nvj.3 PDCD2L ENSG00000126249
uc002nvm.3 WTIP ENSG00000142279
uc002ody.1 ZFP82 ENSG00000181007
